sample,super_pop,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
HG01765,EUR,-88.58229,-150.34653,-30.977097,-52.153225,6.616353,2.0162845,-27.22701,2.618043,-5.9955177,0.73243237,-3.5284991,-0.1272118
HG01766,EUR,-86.684586,-145.54388,-31.91054,-53.62223,5.304924,0.433001,-32.52158,4.7656913,-0.95967823,6.62221,-5.1272416,-0.52059364
HG01767,EUR,-87.82253,-148.5791,-33.97856,-55.787838,8.450749,2.6919696,-27.773518,4.775075,-5.735969,-7.1483874,1.1276966,-2.6198516
HG01768,EUR,-86.688736,-144.82784,-30.224577,-53.745792,3.4241202,0.044922505,-27.899546,4.04481,-6.2862387,4.258552,-1.7058856,1.434635
HG01770,EUR,-89.73385,-149.6179,-32.02572,-51.98063,4.991353,3.4442902,-30.329752,5.7693253,0.93217766,-6.193972,-2.2768593,0.40617713
HG01771,EUR,-94.62311,-150.32164,-32.573242,-53.326782,3.3509166,1.7220442,-23.490757,2.699229,-2.3430302,2.961061,-1.5939521,2.0633898
HG01773,EUR,-91.79163,-147.78119,-31.613783,-54.714283,5.084578,0.52458996,-27.243618,2.0813262,3.1101174,-6.022069,-9.564027,-0.028130308
HG01775,EUR,-95.073135,-152.1413,-34.412327,-54.97727,4.992872,1.115173,-23.19071,7.6699624,-5.2147365,-0.92591727,5.7659273,-4.312705
HG01776,EUR,-96.498,-147.54024,-31.594524,-53.38137,4.3612127,1.8619223,-23.297855,6.5818257,0.50639415,3.8980615,-3.5456824,3.590487
HG01777,EUR,-94.26685,-149.79271,-34.15377,-56.720863,4.0835114,2.5478575,-24.932999,4.7663097,-0.0700939,-2.0630372,-3.3555934,1.056014
HG01779,EUR,-93.19373,-149.41008,-30.94776,-55.58616,6.114003,0.22935471,-22.740162,2.5784636,-2.1145678,0.9046985,-0.6480311,2.5347614
HG01781,EUR,-92.10284,-149.3813,-30.09595,-55.53524,3.7773507,1.9493836,-27.306385,4.835239,3.0380843,-2.1451235,-5.5803037,1.9961113
HG01783,EUR,-87.41194,-146.31485,-29.19983,-50.84048,5.740376,1.8135002,-28.804966,3.0172684,-0.47855517,-4.730323,-5.931644,5.5017443
HG01784,EUR,-90.707405,-146.02989,-31.43002,-54.718502,5.3618655,1.0263662,-29.965233,5.796138,3.1968274,-0.56976616,-1.1298149,3.4813287
HG01785,EUR,-95.71219,-149.91931,-30.707983,-53.79196,5.0694137,-0.8574276,-18.67597,3.9730344,-0.47233832,-0.8438347,5.0847187,2.2372546
HG01786,EUR,-93.629234,-147.33186,-30.741535,-51.601925,4.354891,2.3215528,-22.121227,4.359048,-0.50802743,-1.5472659,-2.9571123,2.613256
HG01789,EUR,-99.92495,-148.96497,-31.686562,-50.131657,0.06430553,-3.2696517,8.273605,2.0000474,1.3004681,17.6791,10.112174,-10.587837
HG01790,EUR,-100.91784,-148.82457,-30.463171,-47.743168,-1.32849,-1.4256258,8.320045,-1.0353235,3.6211905,3.5415065,9.93357,-7.241398
HG01791,EUR,-98.94462,-146.77565,-29.341799,-46.87639,-3.426525,0.7563718,8.683482,0.13122535,4.655832,9.31036,13.726276,-6.5939903
HG01794,EAS,-132.34666,193.79514,-6.7685366,-47.22735,60.077766,-0.6622192,11.609863,-1.652691,2.2541163,2.1796217,-21.044556,-1.5264183
HG01795,EAS,-132.07056,186.2172,-3.182216,-43.059097,55.59137,-1.6365764,9.23525,-1.5833294,-3.536323,0.96365863,-23.15872,1.6388488
HG01796,EAS,-134.83992,188.1518,-5.2303944,-43.496803,60.63928,-0.93420976,10.764822,-0.47227508,7.3828306,1.3463243,-27.243328,0.23339929
HG01797,EAS,-132.34111,187.00859,-5.215717,-42.949425,65.25498,-2.136476,11.177362,-0.2661791,-1.5924383,2.128564,-19.87859,-2.4050286
HG01798,EAS,-134.01312,187.79515,-15.007174,-35.980083,6.554045,-1.5501196,-0.21684648,-0.38450778,0.9812428,0.12095408,12.589891,1.1782497
HG01799,EAS,-135.56023,189.30974,-4.2883472,-41.622242,56.66698,-2.388898,10.640698,0.64657986,3.2155864,-1.2118475,-20.747662,-2.9776003
HG01800,EAS,-133.75609,190.21382,-7.466091,-43.235176,57.737484,-2.2561412,7.8599234,0.4277127,1.061362,0.22870506,-20.349615,-3.5185623
HG01801,EAS,-130.28123,187.94939,-4.4908156,-43.74576,60.038277,0.065734506,12.36008,-2.5801356,1.8592794,1.0634562,-19.333508,-3.3373857
HG01802,EAS,-130.33563,188.9429,-7.907187,-40.8459,51.053192,-2.147229,8.542324,-1.409086,-2.5717213,2.5861907,-13.087284,2.6202915
HG01804,EAS,-133.79532,188.26682,-7.909082,-43.326233,57.182117,0.16162793,10.408795,-2.1708834,3.6894772,0.76517814,-19.079199,-2.271895
HG01805,EAS,-132.80167,190.31042,-6.1834784,-45.374588,59.73522,-3.5757143,9.315402,-3.8687844,-2.8539672,2.940275,-16.058279,-3.8534424
HG01806,EAS,-131.10483,188.32785,-6.699344,-46.212364,58.922234,-1.2141447,8.767923,-0.27179375,2.487219,1.7636787,-20.250868,-7.1718516
HG01807,EAS,-133.52847,188.53282,-7.9508085,-43.3896,62.380535,-0.9685302,11.352325,-2.1261096,2.0060098,3.7997582,-31.892555,-3.8022153
